OBJECTNAME;LON;LAT;RB;DTF;COV;REGION;POC;POCLON;POCLAT
857a6e9bfffffff;36.76893;-1.91806;1868.7;9.49027225;2G;857a6e9bfffffff;857a6e9bfffffff;36.76893;-1.91806
857a6ec3fffffff;36.93715;-1.64774;1386.6;17.13511814;2G;857a6ec3fffffff;857a6ec3fffffff;36.93715;-1.64774
857a6ec7fffffff;36.77473;-1.64008;340.2;0;2G;857a6ec7fffffff;857a6ec7fffffff;36.77473;-1.64008
857a6ecbfffffff;37.02107;-1.51285;0;8.86801522;2G;857a6ecbfffffff;857a6ecbfffffff;37.02107;-1.51285
857a6ecffffffff;36.8588;-1.50515;0;11.49500758;2G;857a6ecffffffff;857a6ecffffffff;36.8588;-1.50515
857a6ed7fffffff;36.8531;-1.78281;588.3;8.78014934;2G;857a6ed7fffffff;857a6ed7fffffff;36.8531;-1.78281
857a7143fffffff;39.69041;-0.40352;29148.9;0;2G;857a7143fffffff;857a7143fffffff;39.69041;-0.40352
857a7147fffffff;39.53123;-0.39557;1977.9;13.811152889999999;2G;857a7147fffffff;857a7147fffffff;39.53123;-0.39557
857a7153fffffff;39.7688;-0.54395;4417.8;17.32975605;2G;857a7153fffffff;857a7153fffffff;39.7688;-0.54395
857a7157fffffff;39.6096;-0.53606;9814.5;9.45195353;2G;857a7157fffffff;857a7157fffffff;39.6096;-0.53606
857a720ffffffff;40.96085;0.3458;1061.1;0;2G;857a720ffffffff;857a720ffffffff;40.96085;0.3458
857a723bfffffff;40.80351;0.35407;1611;17.08464446;2G;857a723bfffffff;857a723bfffffff;40.80351;0.35407
857a7273fffffff;41.03987;0.47651;107.7;13.09987036;2G;857a7273fffffff;857a7273fffffff;41.03987;0.47651
857a7277fffffff;40.88271;0.48485;3267;12.00667626;2G;857a7277fffffff;857a7277fffffff;40.88271;0.48485
857a73c3fffffff;40.32886;0.10817;16176.9;10.060908869999999;2G;857a73c3fffffff;857a73c3fffffff;40.32886;0.10817
857a73c7fffffff;40.17067;0.11634;2668.5;19.59976997;2G;857a73c7fffffff;857a73c7fffffff;40.17067;0.11634
857a73d3fffffff;40.40711;-0.0315;32043.6;11.40723822;2G;857a73d3fffffff;857a73d3fffffff;40.40711;-0.0315
857a73d7fffffff;40.24892;-0.0234;966.6;8.86344138;2G;857a73d7fffffff;857a73d7fffffff;40.24892;-0.0234
857a7487fffffff;40.95249;-2.10769;849.3;18.068248360000002;2G;857a7487fffffff;857a7487fffffff;40.95249;-2.10769
857a7497fffffff;41.03148;-2.2488;103.2;19.9875808;2G;857a7497fffffff;857a7497fffffff;41.03148;-2.2488
857a74b3fffffff;40.79352;-2.10069;1680.6;16.353320959999998;2G;857a74b3fffffff;857a74b3fffffff;40.79352;-2.10069
857a7503fffffff;39.91936;-1.64824;97.2;19.9660227;2G;857a7503fffffff;857a7503fffffff;39.91936;-1.64824
