OBJECTNAME;LON;LAT;RB;DTF;COV;REGION
878b9199bffffff;-54.393558502197266;-11.500463485717772;50.438;5.34897705078125;2G;878b9199bffffff
878af6a80ffffff;-60.102828979492195;-2.841717958450317;57.027;9.4165478515625;2G;878af6a80ffffff
87a800046ffffff;-49.904815673828125;-23.9815731048584;53.718;9.882791015625;2G;87a800046ffffff
87a801888ffffff;-50.84685134887695;-23.71251106262207;440.149;5.93295166015625;2G;87a801888ffffff
878b86628ffffff;-55.35276412963867;-12.34084129333496;41.623;8.310580078125;2G;878b86628ffffff
878a9e4aeffffff;-53.54399871826172;-1.762604355812073;215.018;8.297333984375;2G;878a9e4aeffffff
87a80188effffff;-50.826194763183594;-23.724679946899418;33.421;6.3365859375;2G;87a80188effffff
878060db0ffffff;-49.68284606933594;-3.638001203536987;59.11;6.0916083984375;2G;878060db0ffffff
87a8282acffffff;-53.079586029052734;-23.97497177124023;361.345;6.72269775390625;2G;87a8282acffffff
87a80c393ffffff;-51.87785720825195;-22.595985412597656;354.68;5.8792021484375;2G;87a80c393ffffff
878af280cffffff;-59.976558685302734;-2.100909948348999;14.54;7.740357421875;2G;878af280cffffff
878a9e030ffffff;-54.03050231933594;-1.938359141349792;207.264;8.8365087890625;2G;878a9e030ffffff
878000458ffffff;-41.703895568847656;-4.30705738067627;88.564;9.5984599609375;2G;878000458ffffff
878134063ffffff;-40.337310791015625;-16.16327476501465;47.655;5.27672021484375;2G;878134063ffffff
87a8e845effffff;-52.26742935180664;-16.667171478271484;114.017;8.8010400390625;2G;87a8e845effffff
87a8236f2ffffff;-50.64207458496094;-25.057788848876953;898.742;6.63501806640625;2G;87a8236f2ffffff
878003600ffffff;-41.84523391723633;-2.929956197738647;134.621;8.891162109375;2G;878003600ffffff
878a22163ffffff;-63.06316375732422;-10.026095390319824;208.251;9.44820703125;2G;878a22163ffffff
87a828c21ffffff;-52.64828872680664;-24.685346603393555;56.584;8.268505859375;2G;87a828c21ffffff
87a801452ffffff;-50.41059112548828;-23.317119598388672;14.813;6.575044921875;2G;87a801452ffffff
87a82e100ffffff;-51.88738632202149;-25.074369430541992;417.475;5.7420400390625;2G;87a82e100ffffff
87a80181affffff;-50.911869049072266;-23.76087188720703;2619.804;3.6553557128906253;2G;87a80181affffff
87a82255effffff;-49.51084518432618;-26.086013793945313;168.481;8.86516015625;2G;87a82255effffff
878066a4dffffff;-49.78804016113281;-3.718714475631714;24.293;9.05708984375;2G;878066a4dffffff
87818a819ffffff;-36.04838943481445;-6.142809391021729;238.675;9.1972490234375;2G;87818a819ffffff
87a828174ffffff;-52.994388580322266;-24.455623626708984;99.019;9.808716796875;2G;87a828174ffffff
87a829b1dffffff;-54.31991195678711;-23.858930587768555;68.844;9.176193359375;2G;87a829b1dffffff
87a822008ffffff;-49.89315414428711;-26.059457778930664;17.176;9.5527802734375;2G;87a822008ffffff
878066a4cffffff;-49.76785659790039;-3.731235027313232;196.814;7.9660380859375;2G;878066a4cffffff
87a82e106ffffff;-51.86682128906249;-25.08651351928711;403.486;3.669765625;2G;87a82e106ffffff
87a82e0d1ffffff;-51.83351135253906;-24.765207290649418;166.43;7.642642578125;2G;87a82e0d1ffffff
878134009ffffff;-40.23072814941406;-16.152774810791016;54.526;6.5840166015625;2G;878134009ffffff
878af4acbffffff;-61.208988189697266;-3.211116075515747;29.211;9.7717841796875;2G;878af4acbffffff
878b80ce0ffffff;-56.15397262573242;-12.33066749572754;45.571;8.9009833984375;2G;878b80ce0ffffff
87a82b4f5ffffff;-52.3803825378418;-23.165760040283203;348.825;9.1035205078125;2G;87a82b4f5ffffff
878af4acdffffff;-61.22914123535156;-3.244498491287231;165.78;6.40952099609375;2G;878af4acdffffff
87a82b52dffffff;-52.49467468261719;-23.42240524291992;115.483;7.22214306640625;2G;87a82b52dffffff
87813224affffff;-39.5573616027832;-14.039453506469728;796.793;9.947796875;2G;87813224affffff
87a9522e9ffffff;-53.32361602783203;-25.888656616210938;145.014;6.148028320312501;2G;87a9522e9ffffff
878a80c5effffff;-55.92638397216797;-4.332829475402832;16.767;9.4344609375;2G;878a80c5effffff
87a80188bffffff;-50.84608459472656;-23.69128036499023;196.879;8.0820537109375;2G;87a80188bffffff
87a9082c6ffffff;-52.29623031616211;-28.470409393310547;38.293;8.6069775390625;2G;87a9082c6ffffff
