OBJECTNAME;LON;LAT;RB;DTF;COV;REGION;POC;POCLON;POCLAT
857a651bfffffff;37.79843;-3.5018;1700.4;87.14193942;2G;857a651bfffffff;857a642bfffffff;38.45288;-3.24916
857a6547fffffff;37.80305;-3.22157;3115.8;71.4385542;2G;857a6547fffffff;857a60bbfffffff;38.05349;-2.81282
857a656bfffffff;37.64507;-2.93476;3431.1;63.97080585;2G;857a656bfffffff;857a60bbfffffff;38.05349;-2.81282
857a656ffffffff;37.48234;-2.92765;4576.8;80.44223244999999;2G;857a656ffffffff;857a60bbfffffff;38.05349;-2.81282
857a6573fffffff;37.64026;-3.2146;856.5;82.45539727;2G;857a6573fffffff;857a60bbfffffff;38.05349;-2.81282
857a657bfffffff;37.72403;-3.07813;7658.4;65.34025373;2G;857a657bfffffff;857a60bbfffffff;38.05349;-2.81282
857a662bfffffff;39.03077;-2.29911;671.1;105.35416178999999;2G;857a662bfffffff;857a6013fffffff;38.29871;-2.68403
857a6693fffffff;39.50528;-3.15359;1074;64.203861;2G;857a6693fffffff;857b590ffffffff;39.82495;-3.44536
857a669bfffffff;39.58708;-3.01779;618.9;62.22868068;2G;857a669bfffffff;857b597bfffffff;39.98792;-3.17352
857a66d3fffffff;39.82944;-2.88895;1538.4;47.852831019999996;2G;857a66d3fffffff;857b597bfffffff;39.98792;-3.17352
857a680bfffffff;35.47877;-1.30006;1387.5;49.64342336;2G;857a680bfffffff;857a6843fffffff;35.72685;-1.17312
857a680ffffffff;35.31561;-1.29217;1307.1;56.50753828;2G;857a680ffffffff;857a686bfffffff;35.40828;-0.88006
857a6813fffffff;35.47146;-1.57813;1324.8;70.98626196000001;2G;857a6813fffffff;857a6843fffffff;35.72685;-1.17312
857a6827fffffff;34.82556;-1.2684;1917.9;38.47282801;2G;857a6827fffffff;857a6943fffffff;34.58443;-1.11746
857a682bfffffff;35.07457;-1.1414;4035.6;50.2925038;2G;857a682bfffffff;857a686ffffffff;35.24535;-0.87205
857a682ffffffff;34.91127;-1.13343;3451.5;48.71372724;2G;857a682ffffffff;857a6b87fffffff;34.75603;-0.84796
857a684ffffffff;35.64895;-1.03053;662.4;24.19279421;2G;857a684ffffffff;857a6843fffffff;35.72685;-1.17312
857a6853fffffff;35.80482;-1.31581;917.4;27.76378861;2G;857a6853fffffff;857a685bfffffff;35.88969;-1.18101
857a6863fffffff;35.32309;-1.01461;6424.5;25.82068581;2G;857a6863fffffff;857a686bfffffff;35.40828;-0.88006
857a6867fffffff;35.16002;-1.00663;20292.6;32.701667470000004;2G;857a6867fffffff;857a686ffffffff;35.24535;-0.87205
857a6873fffffff;35.4009;-1.15728;795.3;41.78135369;2G;857a6873fffffff;857a686bfffffff;35.40828;-0.88006
857a687bfffffff;35.48606;-1.02258;2747.1;30.43517228;2G;857a687bfffffff;857a686bfffffff;35.40828;-0.88006
857a6883fffffff;35.46413;-1.85677;605.7;97.57987046999999;2G;857a6883fffffff;857a6843fffffff;35.72685;-1.17312
857a688bfffffff;35.54949;-1.72127;1590.9;79.90733772;2G;857a688bfffffff;857a6843fffffff;35.72685;-1.17312
857a688ffffffff;35.38609;-1.71349;2001.3;88.67722713;2G;857a688ffffffff;857a6843fffffff;35.72685;-1.17312
857a689bfffffff;35.62759;-1.8645;647.7;91.57580964;2G;857a689bfffffff;857a6843fffffff;35.72685;-1.17312
857a68c3fffffff;35.79789;-1.59373;3712.8;58.226634960000005;2G;857a68c3fffffff;857a685bfffffff;35.88969;-1.18101
857a68c7fffffff;35.63473;-1.58594;2610.6;62.31283846;2G;857a68c7fffffff;857a6843fffffff;35.72685;-1.17312
857a68cbfffffff;35.88286;-1.4586;1529.1;42.8867586;2G;857a68cbfffffff;857a685bfffffff;35.88969;-1.18101
857a68cffffffff;35.71984;-1.45078;1278.6;44.85891742;2G;857a68cffffffff;857a6843fffffff;35.72685;-1.17312
857a68d3fffffff;35.87602;-1.73677;2175.6;73.63300053;2G;857a68d3fffffff;857a685bfffffff;35.88969;-1.18101
857a68d7fffffff;35.71281;-1.72903;2595.6;74.64413464;2G;857a68d7fffffff;857a6843fffffff;35.72685;-1.17312
857a68dbfffffff;35.96096;-1.6015;2203.5;59.66466815;2G;857a68dbfffffff;857a685bfffffff;35.88969;-1.18101
857a6953fffffff;34.66204;-1.26044;11750.1;20.2348606;2G;857a6953fffffff;857a6943fffffff;34.58443;-1.11746
857a695bfffffff;34.74789;-1.12545;2844;30.618757119999998;2G;857a695bfffffff;857a6943fffffff;34.58443;-1.11746
857a6963fffffff;34.17983;-0.95851;3102.9;35.578777280000004;2G;857a6963fffffff;857a697bfffffff;34.3434;-0.96656
857a6967fffffff;34.0162;-0.95045;3159.9;53.21495736999999;2G;857a6967fffffff;857a697bfffffff;34.3434;-0.96656
857a696bfffffff;34.26598;-0.82378;2337.6;36.04128712;2G;857a696bfffffff;857a697bfffffff;34.3434;-0.96656
