OBJECTNAME;LON;LAT;RB;DTF;COV;REGION
876ade388ffffff;29.311537;-2.2790945;1;11,45;3G;RWA
876adeb44ffffff;29.437014;-1.6819986;5;2,59;3G;RWA
876ada823ffffff;29.482431;-2.6509893;22;5,28;2G;RWA
876adc4c4ffffff;29.361607;-1.5377543;172;17,01;2G;RWA
876ade2e1ffffff;29.509624;-2.3495867;45;17,03;3G;RWA
876ad8a88ffffff;30.484268;-2.0560803;69;12,99;3G;RWA
876ad8c8cffffff;29.721876;-2.1386385;82;6,84;2G;RWA
876ade253ffffff;29.54615;-2.3312664;14;18,13;3G;RWA
876ad811effffff;30.080515;-2.0761356;77;23,01;2G;RWA
876adea64ffffff;29.503757;-1.7656803;36;11,84;2G;RWA
876ad84c4ffffff;29.891287;-2.5503821;67;16,45;3G;RWA
876ad8942ffffff;30.185448;-1.6193352;40;15,94;3G;RWA
876ad8556ffffff;29.84301;-2.3260484;93;9,49;3G;RWA
876ade2dcffffff;29.492674;-2.4495888;65;9,1;3G;RWA
876ad88d1ffffff;30.159172;-1.9191895;187;30,35;2G;RWA
876adc715ffffff;29.590801;-1.4491011;275;5,17;2G;RWA
876ada970ffffff;29.512268;-2.5313125;65;6,93;2G;RWA
876ade6ecffffff;29.187239;-2.6158483;20;23,92;3G;RWA
876ad8958ffffff;30.20712;-1.6605403;46;20,42;3G;RWA
876ad8948ffffff;30.256235;-1.622883;47;18,1;3G;RWA
876add582ffffff;30.274723;-1.4834869;87;15,94;3G;RWA
876add4abffffff;30.423285;-1.5911404;101;5,18;2G;RWA
876ade729ffffff;29.070673;-2.3475313;7;8,97;2G;RWA
876ad8c55ffffff;29.893358;-2.0265064;101;13,61;2G;RWA
876ade273ffffff;29.537373;-2.27035;33;22,91;3G;RWA
876add598ffffff;30.296398;-1.5246506;23;12,04;3G;RWA
876adc4d2ffffff;29.310282;-1.6153905;85;11,84;3G;RWA
876ad8828ffffff;30.157991;-1.698208;62;19,6;3G;RWA
876ad8b08ffffff;30.497414;-1.7754072;31;15,68;3G;RWA
876addc88ffffff;30.358742;-1.2074878;16;38,42;3G;RWA
876ad81acffffff;30.044075;-2.094433;52;22,17;2G;RWA
876ad9da3ffffff;30.758791;-2.0094194;4;31,1;3G;RWA
876add589ffffff;30.369047;-1.4882128;16;7,77;2G;RWA
876ade7acffffff;28.945917;-2.462239;76;6,93;2G;RWA
876ad8cd9ffffff;29.872627;-2.2066326;83;9,49;2G;RWA
876add4a6ffffff;30.330824;-1.5464182;60;7,88;2G;RWA
876add48affffff;30.408657;-1.6505706;94;11,23;2G;RWA
876ad8ad4ffffff;30.531536;-2.0584364;47;13,42;2G;RWA
876ade7a9ffffff;28.980373;-2.4841764;23;9,1;3G;RWA
876ade781ffffff;28.930868;-2.522034;52;4,54;2G;RWA
876adc25effffff;30.196993;-1.3794452;124;24,69;3G;RWA
876ad8902ffffff;30.020273;-1.6110471;85;7,76;2G;RWA
876ade2c3ffffff;29.505537;-2.430061;40;9,42;3G;RWA
876ad83b4ffffff;30.343811;-2.2705083;54;22,68;3G;RWA
876ade621ffffff;29.088005;-2.4694624;1;4,54;2G;RWA
876ad8b46ffffff;30.580967;-1.7595048;12;20,7;3G;RWA
876ade633ffffff;29.025616;-2.5268543;154;9,36;2G;RWA
876ad8531ffffff;29.715853;-2.2591908;90;5,27;2G;RWA
876adab25ffffff;29.816233;-2.6273909;42;9,1;3G;RWA
876ad8d92ffffff;29.536749;-2.0487947;45;17,06;2G;RWA
876ade7a1ffffff;28.922235;-2.4610338;236;5,21;2G;RWA
876ad9da5ffffff;30.760624;-1.9693074;140;31,9;3G;RWA
876adc770ffffff;29.734304;-1.4162647;147;14,44;2G;RWA
876ad8856ffffff;30.20135;-1.7806761;57;29,93;2G;RWA
876adab26ffffff;29.779688;-2.645756;111;7,82;2G;RWA
876ad88a5ffffff;30.023285;-1.7918286;60;18,28;2G;RWA
876ada835ffffff;29.435032;-2.6485956;79;10,56;3G;RWA
876ada950ffffff;29.521048;-2.5923347;59;6,87;3G;RWA
876adc70cffffff;29.67435;-1.433277;221;9,29;2G;RWA
876add405ffffff;30.465248;-1.4529645;60;12,91;3G;RWA
876add59bffffff;30.307238;-1.5452367;31;10,51;2G;RWA
876ad898cffffff;29.9908;-1.7299619;46;11,39;2G;RWA
876add498ffffff;30.372314;-1.6688124;83;13,63;2G;RWA
876ad84d4ffffff;29.84192;-2.5882874;103;10,55;3G;RWA
876ade249ffffff;29.666513;-2.297014;41;9,42;3G;RWA
876adea40ffffff;29.5233;-1.8470241;79;13,61;3G;RWA
876ad8a1effffff;30.500778;-1.9563657;41;5,19;2G;RWA
876ad9db3ffffff;30.709698;-2.0471933;50;24,69;3G;RWA
876ad9ca4ffffff;30.813288;-2.1126823;48;27,27;3G;RWA
876adab23ffffff;29.814238;-2.6676948;42;11,98;3G;RWA
876ad8435ffffff;29.780844;-2.3834133;129;5,2;2G;RWA
876ad84e0ffffff;29.893269;-2.5101101;96;18,19;3G;RWA
876ad8355ffffff;30.631388;-2.2042732;96;5,19;3G;RWA
876add5a6ffffff;30.254967;-1.4023763;111;23,15;2G;RWA
876ad8216ffffff;30.505646;-2.3591754;38;16,28;3G;RWA
876ada84cffffff;29.69372;-2.7020526;47;14,47;2G;RWA
876ad8a99ffffff;30.45875;-2.095043;66;11,96;2G;RWA
876ad8d89ffffff;29.680614;-2.0158057;56;9,08;2G;RWA
876ad8d24ffffff;29.669062;-1.7740161;63;16,13;2G;RWA
876ad8909ffffff;30.114658;-1.6157848;72;9,38;2G;RWA
876ada873ffffff;29.598904;-2.6972787;77;6,97;2G;RWA
876ad8d65ffffff;29.85798;-1.7835248;37;11,83;3G;RWA
876ad818effffff;30.040169;-2.1747599;45;14,52;2G;RWA
876ad8229ffffff;30.651325;-2.2858183;8;4,55;2G;RWA
876ad8d9bffffff;29.618486;-2.073041;62;13,17;2G;RWA
876ad8b5cffffff;30.60271;-1.8007386;7;18,74;2G;RWA
876ad8832ffffff;30.03802;-1.7323323;43;15,95;2G;RWA
876ad8c12ffffff;29.702244;-2.0571356;48;4,54;2G;RWA
876add4d2ffffff;30.466705;-1.6735328;82;15,55;3G;RWA
876ad80d5ffffff;30.210806;-2.3243182;17;9,5;2G;RWA
876ad8b35ffffff;30.39402;-1.7100267;50;17,84;2G;RWA
876ade776ffffff;29.081451;-2.368247;99;6,86;2G;RWA
876adeacaffffff;29.478668;-2.0257416;100;18,79;2G;RWA
876ad8b00ffffff;30.439339;-1.7524321;83;18,64;3G;RWA
876adc645ffffff;29.880665;-1.5639224;58;9,3;3G;RWA
876ad8b8effffff;30.384552;-1.910367;101;6,91;2G;RWA
876ade264ffffff;29.565104;-2.191156;71;22,81;2G;RWA
876ade70cffffff;29.044882;-2.3865607;81;5,2;2G;RWA
876adc755ffffff;29.75589;-1.4574206;23;13,58;2G;RWA
876ad8154ffffff;30.200645;-2.0419128;93;27,37;2G;RWA
876ad819effffff;29.990904;-2.2125683;22;15,94;2G;RWA
876ad8bb4ffffff;30.281122;-1.8449206;91;20,45;2G;RWA
876ade0dbffffff;29.107233;-2.3292217;83;11,9;2G;RWA
876ad8050ffffff;30.28754;-2.2072735;34;20,44;2G;RWA
876ad8c81ffffff;29.698225;-2.137448;72;7,79;3G;RWA
876ade612ffffff;29.010582;-2.5866756;150;15,94;2G;RWA
876ad898effffff;29.978016;-1.7493957;54;11,39;2G;RWA
876ad8a83ffffff;30.437;-2.0537226;72;11,26;2G;RWA
876ad8c20ffffff;29.75553;-1.9391297;37;13,16;3G;RWA
876ada834ffffff;29.411331;-2.647398;1;13,19;3G;RWA
876ad83a4ffffff;30.39302;-2.232677;148;15,95;2G;RWA
876ad831cffffff;30.500393;-2.2178895;66;5,19;3G;RWA
876ade3a3ffffff;29.255503;-2.2158012;52;4,55;2G;RWA
876ad896bffffff;30.258148;-1.5828722;119;16,38;2G;RWA
876ad8049ffffff;30.418564;-2.1936762;64;12,05;3G;RWA
876ade76cffffff;29.20191;-2.3340237;70;8,96;2G;RWA
876ad8928ffffff;30.082178;-1.5539973;62;2,63;2G;RWA
876ad8cd5ffffff;29.803654;-2.1628878;82;6,84;3G;RWA
876adc6c2ffffff;29.765518;-1.7387121;31;13,79;3G;RWA
876add58cffffff;30.334627;-1.4664546;25;11,91;3G;RWA
876adc6c5ffffff;29.79112;-1.6998508;56;9,06;2G;RWA
876ad80a6ffffff;30.049065;-2.2356267;37;9,09;2G;RWA
876addc85ffffff;30.313534;-1.1652372;19;43,93;3G;RWA
876addc9bffffff;30.320559;-1.2655692;21;32,92;2G;RWA
876ad8508ffffff;29.808506;-2.3041573;75;6,92;2G;RWA
876ad8a2bffffff;30.575378;-1.8797075;51;11,42;2G;RWA
876ade230ffffff;29.360933;-2.241286;53;15,81;2G;RWA
876ade630ffffff;29.014835;-2.5061162;136;7,81;3G;RWA
876ade70effffff;29.031984;-2.406079;114;4,54;2G;RWA
876adc676ffffff;29.786291;-1.5591741;153;9,06;2G;RWA
876ad810dffffff;30.166157;-2.0200715;13;29,36;2G;RWA
876ad818bffffff;30.07467;-2.196626;68;10,4;2G;RWA
876ad8992ffffff;29.881596;-1.784712;47;11,24;2G;RWA
876ad8011ffffff;30.145628;-2.2001786;171;9,33;2G;RWA
876ad8320ffffff;30.493267;-2.1168854;82;7,8;2G;RWA
876ade240ffffff;29.5847;-2.2727368;50;18,18;3G;RWA
876add522ffffff;30.354952;-1.2872986;97;29,7;2G;RWA
876addc1cffffff;30.387964;-1.0890423;90;51,33;3G;RWA
876ad8a82ffffff;30.413366;-2.0525432;70;11,25;2G;RWA
876add485ffffff;30.376104;-1.5887794;111;5,17;2G;RWA
876ad8271ffffff;30.709536;-2.3088539;40;11,46;2G;RWA
876ade7a5ffffff;28.911467;-2.440304;125;6,86;2G;RWA
876add572ffffff;30.47088;-1.333125;23;25,34;3G;RWA
876ad8b29ffffff;30.512028;-1.7159249;11;22,19;3G;RWA
876adc665ffffff;29.871834;-1.5033362;63;16,1;3G;RWA
876ad8d0effffff;29.723091;-1.877191;35;11,39;3G;RWA
876ad8ba5ffffff;30.35387;-1.8083905;125;18,17;3G;RWA
876ad8ba3ffffff;30.35197;-1.8484643;99;14,5;2G;RWA
876adea4cffffff;29.570545;-1.8494076;80;9,39;3G;RWA
876ad8a44ffffff;30.669836;-1.8844151;5;21,5;2G;RWA
876ad80b1ffffff;30.047112;-2.275823;67;6,96;3G;RWA
876adc716ffffff;29.55441;-1.4673046;105;6,94;2G;RWA
876addcaaffffff;30.337086;-1.1664188;9;43,29;3G;RWA
876ad8195ffffff;29.969215;-2.1712022;98;20,48;2G;RWA
876ad8065ffffff;30.340557;-2.0891445;28;18,14;2G;RWA
876ade235ffffff;29.373796;-2.2217867;58;17,28;3G;RWA
876ad8c21ffffff;29.77916;-1.9403187;41;13,67;3G;RWA
876ad89acffffff;29.981937;-1.6693063;88;7,89;2G;RWA
876add4a5ffffff;30.367153;-1.5281945;20;4,53;2G;RWA
876adc612ffffff;29.640697;-1.6320716;109;9,06;3G;RWA
876ad81b1ffffff;29.97118;-2.1310334;83;21,54;2G;RWA
876ad8300ffffff;30.502272;-2.1777153;49;2,63;2G;RWA
876ad9d99ffffff;30.789654;-2.1115088;22;25,16;3G;RWA
876adc6a8ffffff;29.662287;-1.6732925;88;10,36;2G;RWA
876addcc8ffffff;30.523615;-1.2157516;9;39,61;3G;RWA
876addc9effffff;30.286173;-1.2438424;74;36,42;3G;RWA
876ad8a66ffffff;30.648075;-1.84316;68;20,44;2G;RWA
876add511ffffff;30.35116;-1.3671565;171;21,11;2G;RWA
876ad8982ffffff;29.930796;-1.7470237;66;7,77;2G;RWA
876ad84daffffff;29.89818;-2.6517036;86;18,43;3G;RWA
876adeae3ffffff;29.435493;-1.9431019;89;9,07;2G;RWA
876ad9d92ffffff;30.695116;-2.1068118;127;18,15;3G;RWA
876ada904ffffff;29.393826;-2.5253303;1;19;2G;RWA
876ade2e5ffffff;29.498812;-2.3288777;27;19,61;3G;RWA
876ade332ffffff;29.272533;-2.1159575;67;14,44;2G;RWA
876adea6effffff;29.548954;-1.8081341;101;14,48;3G;RWA
876ade3abffffff;29.313612;-2.2388923;48;10,54;3G;RWA
876ade600ffffff;29.07299;-2.5292618;33;9,35;2G;RWA
876ad8086ffffff;30.057964;-2.296518;100;5,27;3G;RWA
876ade3a2ffffff;29.231844;-2.214603;72;2,6;2G;RWA
876adc6b6ffffff;29.53144;-1.6867654;105;6,94;2G;RWA
876adc4e3ffffff;29.374432;-1.5183519;111;18,12;3G;RWA
876adea6affffff;29.55975;-1.8287693;88;11,93;3G;RWA
876add472ffffff;30.546831;-1.477076;2;18,09;2G;RWA
876ad8104ffffff;30.084406;-1.9958643;785;31,78;2G;RWA
876adeb40ffffff;29.447792;-1.7026167;0;4,46;3G;RWA
876ad811bffffff;30.115005;-2.097987;28;20,2;2G;RWA
876ade382ffffff;29.240545;-2.2755003;100;4,54;2G;RWA
876ade361ffffff;29.52391;-2.0682716;63;19,63;2G;RWA
876addcd9ffffff;30.49819;-1.254471;25;34,61;3G;RWA
876ade30effffff;29.377922;-2.1414247;40;20,47;2G;RWA
876ade2abffffff;29.389208;-2.3838396;59;22,73;3G;RWA
876ada96affffff;29.607023;-2.5360904;87;6,93;2G;RWA
876ad80ecffffff;30.285625;-2.2474594;5;18,38;2G;RWA
876adc6caffffff;29.823553;-1.7617114;45;11,83;3G;RWA
876ad8c80ffffff;29.674576;-2.1362572;84;9,4;3G;RWA
876ad8b93ffffff;30.311779;-1.9469271;70;13,16;2G;RWA
876ad8853ffffff;30.235807;-1.8024826;34;27,32;2G;RWA
876ad8b9dffffff;30.371792;-1.9298265;92;6,95;2G;RWA
876ad8d9dffffff;29.620508;-2.0328965;50;11,26;2G;RWA
876adc6eeffffff;29.803919;-1.6804242;63;6,94;2G;RWA
876ad84dcffffff;29.900162;-2.6114047;83;17,3;3G;RWA
876adea46ffffff;29.499678;-1.845832;80;15,95;3G;RWA
876ad80e2ffffff;30.225525;-2.264602;68;11,44;2G;RWA
876ad8894ffffff;29.959337;-1.8890691;70;23,69;2G;RWA
876adc605ffffff;29.71551;-1.5556101;100;4,46;2G;RWA
876ad88f5ffffff;30.13942;-1.8378245;73;31,75;2G;RWA
876ad8d5affffff;29.850052;-1.9438838;58;16,98;3G;RWA
876adc250ffffff;30.162598;-1.3576988;57;24,61;3G;RWA
876adab10ffffff;29.762829;-2.7459528;62;18,17;3G;RWA
876adc251ffffff;30.186169;-1.3588818;57;25,84;3G;RWA
876ad8b60ffffff;30.595556;-1.7000308;13;27,22;2G;RWA
876adc2e2ffffff;30.100761;-1.4146641;33;16,08;3G;RWA
876ada96dffffff;29.632736;-2.497013;38;7,91;2G;RWA
